factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
bias_20,Daily,-1,0.0544076545087844,0.18708277190939698,0.2908212821804932,0.6208791208791209,-1.0539295768168344,-0.8411224956108108,0.3009643315526504,-0.1918383414650796,-0.6235093849440383,-0.12038421672103705,-0.6026732344840777,0.4275694702023758,1456,205.26899383983573,-0.37084615672510435,-0.20324872215168943,-0.07625623464708897,-0.07663045815519465
apm_vol_adjusted,Intraday,1,0.0005178770386555521,0.12204337956777883,0.004243384590428312,0.5096153846153846,-1.101069030357254,-0.775023283317817,0.4399083381876204,-0.13476436874661524,-0.6234423434454406,0.029504902431750635,-0.49122426747934356,0.5613406864106972,1456,209.48186173853526,0.0023332541280851604,-0.2346832040316903,-0.04424165719876383,-0.23435925002418434
ret_autocorr_5,Intraday,-1,0.008897581790752979,0.10008789717146799,0.08889767047990997,0.5446428571428572,-1.109979389751295,-0.5798908602117999,0.30694597563038056,-0.11319311009819577,-0.560602886690679,-0.07011657752092482,-0.3961934056516939,0.6192813067921948,1456,209.70773442847366,-0.10040673117995658,-0.13313826096709425,-0.17573444650964232,-0.0365597453934251
jump_contribution,Intraday,-1,0.019471828692410317,0.12197028587667195,0.1596440227717321,0.5501373626373627,-1.1151064887768654,-0.653735663469984,0.2739960577501584,-0.1386276197336036,-0.5659303332194697,-0.11704976967795266,-0.5532012489721081,0.5514091958859829,1456,209.67488021902807,-0.02851015462115436,-0.2647077226551362,-0.22053132157656208,-0.009676543000688098
gk_volatility,Daily,-1,0.08050083961716431,0.2301576655525147,0.34976387132827363,0.6449175824175823,-1.1176348308587034,-0.6148121166403855,0.14153592265319256,-0.23289040833635832,-0.6405672340278625,-0.11087014671261308,-0.667436058370561,0.34728936865658516,1456,205.26899383983573,-0.2914055013685689,-0.12007593029957042,-0.18773469960824585,-0.31427400386456716
sortino_ratio,Daily,-1,0.04231466075194473,0.1534801751514655,0.2757011317792295,0.614010989010989,-1.1183484904909455,-0.5816220103009616,0.1645842270415301,-0.1614981865957663,-0.5520201252568193,-0.19353299257518375,-0.5420688796557367,0.49528404393205205,1456,195.06913073237507,-0.3532106519394729,-0.13975889863759317,-0.14451663143392102,0.04054224871544165
asia_session_ret,Intraday,-1,0.01202742929396804,0.1417822519967827,0.08483028218467106,0.5315934065934066,-1.1184205742923958,-0.8343493569903203,0.41830459323559044,-0.16196416092035182,-0.646254806824155,-0.005112744483980136,-0.5257125953956444,0.4941870098667409,1456,209.750855578371,-0.19806113747949472,-0.2158051199444212,-0.08184258284614865,-0.14412780847374085
first_half_ret,Intraday,-1,0.01547264185060684,0.14385928049598248,0.10755399805783793,0.532967032967033,-1.1632843881561683,-0.8911930801436109,0.44919708626166727,-0.16958686705519022,-0.661896023341941,0.01974245217435744,-0.5406705323641436,0.4764982200164389,1456,209.97056810403834,-0.20352575425730812,-0.19931976418840947,-0.16894748574314367,-0.100912480396541
gammabias_t,Intraday,-1,0.04692929829698364,0.14229916845461407,0.32979317805374125,0.6449175824175823,-1.1663951017271128,-0.6416181028026164,0.27393894830679033,-0.1702600678079832,-0.6153780027271805,-0.08061422253258488,-0.5322007511625075,0.4749591656599052,1456,208.5359342915811,-0.2708877204448604,-0.005331241950767618,-0.09646543435753141,-0.27516590841765964
eu_session_ret,Intraday,-1,0.016849681632636,0.14741985686108416,0.11429722459669357,0.5364010989010989,-1.1876762126312421,-0.8165295669278917,0.3612053918751957,-0.17413533277522386,-0.6363507864625397,-0.05196604727279319,-0.5555285502934495,0.46617194382264465,1456,209.95071868583162,-0.13716618758392474,0.016277583383514704,-0.30121725482019823,-0.23921059153213775
gamma_up,Intraday,-1,0.07006213176028811,0.16297559073104229,0.42989337941396055,0.6840659340659341,-1.1926638933948386,-0.6820789503606511,0.2817985961002411,-0.2003726562075947,-0.6527205962238714,-0.06176441180352965,-0.6052667212267397,0.4098404236907459,1456,208.5359342915811,-0.27833217501513896,-0.001998901411138121,-0.16869423914110082,-0.3154807917961775
vol_stability,Intraday,-1,0.034473260969443364,0.12393659919858434,0.27815236508695074,0.6263736263736264,-1.196141768605152,-0.5788612297644371,0.2446814575852293,-0.15608794073879284,-0.5985818360180002,-0.10305773098081539,-0.5264239490444065,0.5081553162736279,1456,208.5359342915811,-0.02687063214897456,0.010907411286928514,-0.07093531125796138,-0.4440079781949603
info_concentration,Intraday,-1,0.01673278281024407,0.11608078712055973,0.1441477249063483,0.5728021978021978,-1.252270369282599,-0.806186887337156,0.41879199912322124,-0.14095299250196047,-0.6181823301427798,0.006206659511792223,-0.5099309702710281,0.5454950567019926,1456,209.70773442847366,-0.16160232708752542,-0.16778216735946327,-0.16057263209031392,-0.06863349942766972
surge_vol_ratio,Intraday,-1,0.02630672440031942,0.11002710618961165,0.23909310096780675,0.5872252747252747,-1.293115333225957,-0.6781707726396976,0.3218031833898705,-0.13910187881939773,-0.5905072610289128,-0.06737307466656262,-0.46764411002917183,0.5501991276745228,1456,208.49418206707733,-0.19572565111868157,-0.2083164628410178,-0.023653843449887302,-0.1149654097768158
